contestant_name,age,num_season,finish,gender,poc
David Samson,45,28,18,M,0
Garrett Adelstein,27,28,17,M,0
Brice Johnston,27,28,16,M,1
J'Tia Taylor,31,28,15,F,1
Cliff Robinson,46,28,14,M,1
Lindsey Ogle,29,28,13,F,0
Alexis Maxwell,21,28,12,F,1
Sarah Lacina,29,28,11,F,0
Morgan McLeod,21,28,10,F,0
LJ McKanas,34,28,9,M,0
Jeremiah Wood,34,28,8,M,0
Jefra Bland,22,28,7,F,0
Tasha Fox,37,28,6,F,1
Trish Hegarty,48,28,5,F,0
Spencer Bledsoe,21,28,4,M,0
Kass McQuillen,41,28,3,F,0
Woo Hwang,29,28,2,M,1
Tony Vlachos,39,28,1,M,0
Nadiya Anderson,28,29,18,F,1
Val Collins,35,29,17,F,1
John Rocker,39,29,16,M,0
Drew Christy,25,29,15,M,0
Kelley Wentworth,28,29,14,F,0
Dale Wentworth,55,29,13,M,0
Julie McGee,34,29,12,F,0
Josh Canfield,32,29,11,M,0
Jeremy Collins,36,29,10,M,1
Wes Nale,24,29,9,M,0
Reed Kelly,31,29,8,M,0
Alec Christy,22,29,7,M,0
Jon Misch,26,29,6,M,0
Baylor Wilson,20,29,5,F,0
Keith Nale,53,29,4,M,0
Missy Payne,47,29,3,F,0
Jaclyn Schultz,25,29,2,F,0
Natalie Anderson,28,29,1,F,1
So Kim,31,30,18,F,1
Vince Sly,32,30,17,M,0
Nina Poersch,51,30,16,F,1
Lindsey Cascaddan,24,30,15,F,0
Max Dawson,37,30,14,M,0
Joaquin Souberbielle,27,30,13,M,1
Kelly Remington,44,30,12,F,0
Hali Ford,25,30,11,F,0
Joe Anglim,25,30,10,M,0
Jenn Brown,22,30,9,F,0
Shirin Oskooi,31,30,8,F,1
Tyler Fredrickson,33,30,7,M,0
Dan Foley,47,30,6,M,0
Sierra Dawn Thomas,27,30,5,F,0
Rodney Lavoie,24,30,4,F,0
Will Sims II,41,30,2,M,1
Carolyn Rivera,52,30,2,F,0
Mike Holloway,38,30,1,M,0
Vytas Baskauskas,35,31,20,M,0
Shirin Oskooi,32,31,19,F,1
Peih-Gee Law,37,31,18,F,1
Jeff Varner,49,31,17,M,0
Monica Padilla,30,31,16,F,1
Terry Deitz,55,31,15,M,0
Woo Hwang,31,31,14,M,1
Kass McQuillen,42,31,13,F,0
Andrew Savage,51,31,12,M,0
Kelly Wiglesworth,37,31,11,F,0
Ciera Eastin,26,31,10,F,0
Stephen Fishbach,36,31,9,M,0
Joe Anglim,25,31,8,M,0
Abi-Maria Gomes,35,31,7,F,1
Kimmi Kappenberg,42,31,6,F,0
Keith Nale,54,31,5,M,0
Kelley Wentworth,29,31,4,F,0
Spencer Bledsoe,22,31,2,M,0
Tasha Fox,39,31,2,F,1
Jeremy Collins,37,31,1,M,1
Darnell Hamilton,27,32,18,M,1
Jennifer Lanzetti,38,32,17,F,0
Liz Markham,27,32,16,F,0
Caleb Reynolds,28,32,15,M,0
Alecia Holden,24,32,14,F,0
Anna Khait,26,32,13,F,0
Peter Baggenstos,34,32,12,M,1
Neal Gottlieb,38,32,11,M,0
Nick Maiorano,30,32,10,M,0
Debbie Wanner,49,32,9,F,0
Scot Pollard,40,32,8,M,0
Julia Sokolowski,19,32,7,F,0
Kyle Jason,31,32,6,M,0
Joe del Campo,71,32,5,M,0
Cydney Gillon,23,32,4,F,1
Tai Trang,51,32,3,M,1
Aubry Bracco,29,32,2,F,0
Michele Fitzgerald,24,32,1,F,0
Rachel Ako,37,33,20,F,1
Mari Takahashi,31,33,19,F,1
Paul Wachter,52,33,18,M,0
Lucy Huang,42,33,17,F,1
CeCe Taylor,39,33,16,F,1
Figgy Figueroa,23,33,15,F,1
Michaela Bradshaw,25,33,14,F,1
Michelle Schubert,28,33,13,F,0
Taylor Stocker,24,33,12,M,0
Chris Hammons,38,33,11,M,0
Jessica Lewis,37,33,10,F,0
Zeke Smith,28,33,9,M,0
Will Wahl,18,33,8,M,0
Sunday Burquest,45,33,7,F,0
Jay Starrett,27,33,6,M,1
Bret LaBelle,42,33,5,M,0
David Wright,42,33,4,M,0
Hannah Shapiro,24,33,2,F,0
Ken McNickle,33,33,2,M,0
Adam Klein,25,33,1,M,0
Ciera Eastin,27,34,20,F,0
Tony Vlachos,42,34,19,M,0
Caleb Reynolds,28,34,18,M,0
Malcolm Freberg,29,34,17,M,0
J.T. Thomas,31,34,16,M,0
Sandra Diaz-Twine,42,34,15,F,1
Jeff Varner,50,34,14,M,0
Hali Ford,26,34,13,F,0
Ozzy Lusth,34,34,12,M,1
Debbie Wanner,51,34,11,F,0
Zeke Smith,28,34,10,M,0
Sierra Dawn Thomas,29,34,9,F,0
Andrea Boehlke,27,34,8,F,0
Michaela Bradshaw,25,34,7,F,1
Cirie Fields,45,34,6,F,1
Aubry Bracco,30,34,5,F,0
Tai Trang,52,34,4,M,1
Troyzan Robertson,54,34,3,M,0
